Laid-Back Camp Season 3 / Yuru Camp△ SEASON 3,Jellyfish Can’t Swim in the Night / Yoru no Kurage wa Oyogenai,"'Tis Time for ""Torture,"" Princess / Hime-sama, ""Goumon"" no Jikan desu",Tonari no Yokai-san,Frieren: Beyond Journey’s End / Sousou no Frieren
0,0,0,0,0
3,2,0,3,5
3,4,2,3,5
0,0,0,0,0
5,0,0,0,0
0,0,0,0,5
5,1,4,5,1
5,0,4,0,5
0,0,0,0,5
0,0,0,0,5
0,0,0,0,5
0,0,0,0,5
0,0,0,0,1
5,0,0,0,3
0,0,4,5,2
0,0,0,0,0
0,5,0,0,3
2,2,2,2,5
1,4,3,1,5
0,3,0,0,0
2,5,3,3,4
0,0,0,0,0
3,0,2,0,4
0,0,5,0,5
3,0,0,0,4
5,3,3,3,0
0,0,0,0,5
5,3,3,3,4
2,2,2,2,3
5,0,0,0,0
0,3,0,5,1
0,0,0,0,0
4,4,5,0,5
0,0,0,0,5
0,0,0,0,4
1,1,1,1,5
0,0,0,0,3
0,0,0,0,5
2,3,3,3,5
3,3,4,4,5
0,0,0,0,5
0,0,0,0,5
0,0,0,0,0
0,0,4,0,5
1,1,1,1,2
0,0,0,0,0
0,0,0,0,2
0,0,0,0,5
0,5,0,0,4
0,0,0,0,5
4,2,1,3,5
2,4,2,2,2
0,0,0,0,4
0,0,0,0,4
0,0,0,0,0
0,0,0,0,5
0,0,0,0,5
0,0,0,0,5
0,5,0,0,0
0,0,0,0,5
0,0,0,0,5
0,0,0,0,5
4,4,3,0,5
4,0,0,0,5
0,0,0,0,5
0,0,0,0,4
0,0,0,0,1
0,0,0,0,0
0,0,0,0,2
0,0,0,0,0
2,2,3,1,4
5,0,0,0,4
4,0,0,0,5
0,0,5,0,4
4,5,0,0,0
0,2,2,2,5
0,0,0,0,5
0,3,0,0,0
0,4,5,3,0
3,3,3,5,3
1,1,2,1,5
0,4,4,0,3
0,0,0,0,0
0,0,0,0,0
0,0,0,0,5
0,0,0,0,5
5,3,0,0,3
0,5,0,0,4
0,0,0,0,0
2,4,5,0,3
0,2,0,3,1
0,0,4,0,0
