Category,Winner
2024 Anime of the Year,Frieren: Beyond Journey’s End / Sousou no Frieren
Best Comedy,Delicious in Dungeon / Dungeon Meshi
Best Drama,The Apothecary Diaries / Kusuriya no Hitorigoto
Best Animation,Frieren: Beyond Journey’s End / Sousou no Frieren
Best Fantasy,Frieren: Beyond Journey's End / Sousou no Frieren
Best Soundtrack,Frieren: Beyond Journey’s End / Sousou no Frieren
Best Duo: Romantic or Otherwise,Momo Ayase & Ken Takakura (Okarun) from Dan Da Dan
Best Voice Acting,Atsumi Tanezaki as Frieren in Frieren: Beyond Journey's End (Japanese)
Best Romance,Spice and Wolf: MERCHANT MEETS THE WISE WOLF / Ookami to Koushinryou: MERCHANT MEETS THE WISE WOLF
Best Opening or Ending Sequence (OP/ED),"""Otonoke"" by Creepy Nuts for the Dan Da Dan OP"
Best Action,Dan Da Dan
Best Slice of Life,Frieren: Beyond Journey’s End / Sousou no Frieren
Best Suspense,The Apothecary Diaries / Kusuriya no Hitorigoto
Best Character,Frieren from Frieren: Beyond Journey's End / Sousou no Frieren
