Category,Winner
Best Illustrator,You Shiina for Ascendance of a Bookworm
Best Overall Series,Ascendance of a Bookworm
Best Antagonist,Gervasio from Ascendance of a Bookworm
Best Debut,Exp Is Golden: Volume 1
Best Couple or Duo,Karion & Urion from Death March to the Parallel World Rhapsody
Best Protagonist,Rozemyne (Myne) from Ascendance of a Bookworm
Best Worldbuilding,Ascendance of a Bookworm
Best Supporting Character,Hartmut from Ascendance of a Bookworm
Best Author,Miya Kazuki for Ascendance of a Bookworm
Best Volume,Ascendance of a Bookworm: Part 5 Volume 12 (a.k.a. Part 5: Avatar of a Goddess Vol.12)
