Response ID,2024 Manga of the Year [ - RuriDragon],2024 Manga of the Year [ - The Demon King's Daughter Is Too Kind!! / Maou no Musume wa Yasashi Sugiru!!],2024 Manga of the Year [ - Love Bullet],2024 Manga of the Year [ - DAN DA DAN],2024 Manga of the Year [ - Kagurabachi],Best Comedy [ - The Gals Who Always Say Insane Things: My Daily Life at a Private Paranormal High School / Shiretto Sugee Koto Itteru Gal. - Shiritsu Paranomaru Koukou no Nichijou],"Best Comedy [ - The 100 Girlfriends Who Really, Really, Really, Really, Really Love You]",Best Comedy [ - The Eminence in Shadow / Kage no Jitsuryokusha ni Naritakute!],"Best Comedy [ - IseGure: After Constantly Being Used as a Foil for OP Isekai Protagonists, The Elite Knight Has Finally Had It / IseGure - Isekai Cheat Musou Ore TUEEE-kei Ikiri Tenseisha ni Kamaseinu ni sare Tsuzuketa Elite Kishi, Chou Gureru]",Best Comedy [ - Turns Out My Dick Was a Cute Girl / Ore no Kokan wa Bishoujo Datta no ka],Best Action [ - Chainsaw Man],Best Action [ - Omniscient Reader's Viewpoint],Best Action [ - Chained Soldier / Mato Seihei no Slave],Best Action [ - Kagurabachi],"Best Action [ - I Got a New Skill Every Time I Was Exiled, and After 100 Different Worlds, I Was Unmatched / Tsuihousareru Tabi ni Skill o Te ni Ireta Ore ga, 100 no Isekai de 2-shuume Musou]",Best Fantasy [ - Frieren: Beyond Journey's End / Sousou no Frieren],Best Fantasy [ - Witch Hat Atelier],"Best Fantasy [ - Welcome to Japan, Ms. Elf! / Nihon e Youkoso Elf-san]",Best Fantasy [ - Made in Abyss],Best Fantasy [ - Speedrunner Cannot Return from the Game World / RTA Sousha wa Game Sekai kara Kaerenai],"Best Romance [ - The 100 Girlfriends Who Really, Really, Really, Really, Really Love You]","Best Romance [ - Don't Toy With Me, Miss Nagatoro! / Ijiranaide, Nagatoro-san]",Best Romance [ - The Girl I Like Forgot Her Glasses / Suki na Ko ga Megane wo Wasureta],Best Romance [ - Journey Home After School / Houkago Kitaku Biyori],Best Romance [ - The Fragrant Flower Blooms with Dignity / Kaoru Hana wa Rin to Saku],Best Slice of Life [ - RuriDragon],Best Slice of Life [ - Tsumiki Ogami &amp; the Strange Everyday Life / Ogami Tsumiki to Kinichijou],Best Slice of Life [ - Gal Can't Be Kind to Otaku!? / Otaku ni Yasashii Gal wa Inai!?],Best Slice of Life [ - SPY×FAMILY],Best Slice of Life [ - The Demon King's Daughter Is Too Kind!! / Maou no Musume wa Yasashi Sugiru!!],Best Drama [ - The Apothecary Diaries / Kusuriya no Hitorigoto],Best Drama [ - Tales Of Akane / Akane-banashi],Best Drama [ - Vinland Saga],Best Drama [ - Love Bullet],Best Drama [ - Villains Are Destined to Die],Best Suspense [ - Mieruko-chan],Best Suspense [ - Oshi no Ko],Best Suspense [ - Miyu-chan Will Always Be Your Friend / Miyu-chan wa Zutto Tomodachi],Best Suspense [ - MAD],Best Suspense [ - The Summer Hikaru Died / Hikaru ga Shinda Natsu],Best Artwork [ - Witch Hat Atelier],Best Artwork [ - Mieruko-chan],Best Artwork [ - One Punch Man],Best Artwork [ - Akebi-chan's Sailor Uniform / Akebi-chan no Sailor Fuku],Best Artwork [ - Fate/type Redline],Best Character [ - Ruri Aoki from RuriDragon],Best Character [ - Frieren from Frieren: Beyond Journey's End / Sousou no Frieren],Best Character [ - Maomao from The Apothecary Diaries],Best Character [ - Cid Kagenou from The Eminence in Shadow / Kage no Jitsuryokusha ni Naritakute!],Best Character [ - Urumin (Moegi Urushibara) from The Useless Idol and Her Only Fan in the World / Damedol to Sekai ni Hitori Dake no Fan],"Best Duo: Romantic or Otherwise [ &amp; Hayase Nagatoro &amp; Naoto Hachiouji from Don't Toy With Me, Miss Nagatoro! / Ijiranaide, Nagatoro-san]",Best Duo: Romantic or Otherwise [ &amp; Nazuna Nanakusa &amp; Kou Yamori from Call of the Night / Yofukashi no Uta],Best Duo: Romantic or Otherwise [ &amp; Chinatsu Kano &amp; Taiki Inomata from Blue Box / Ao no Hako],Best Duo: Romantic or Otherwise [ &amp; Mirai Misato &amp; Shouko Taira from The Gals Who Always Say Insane Things: My Daily Life at a Private Paranormal High School / Shiretto Sugee Koto Itteru Gal. - Shiritsu Paranomaru Koukou no Nichijou],"Best Duo: Romantic or Otherwise [ &amp; Hakari Hanazono &amp; Karane Inda from The 100 Girlfriends Who Really, Really, Really, Really, Really Love You]"
13,2,2,4,5,0,,,,,,,,,,,5,5,,,,,,,,,,,,3,,5,,4,4,,,,,,,5,,4,,,,5,4,,,,,,,
19,,,,4,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,5,5,,,
25,0,5,0,0,0,4,0,0,0,3,5,0,0,0,0,5,0,0,0,0,0,4,3,5,0,0,0,4,3,5,4,0,4,0,0,5,0,0,0,0,0,5,0,4,0,0,5,3,0,4,4,3,0,3,0
26,1,5,5,2,0,4,5,0,4,5,0,0,5,0,4,5,0,0,0,5,5,0,0,0,0,0,0,4,4,5,4,0,2,5,0,5,1,0,0,0,0,5,3,0,0,1,5,5,0,0,0,0,0,4,5
28,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,5,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,5,0,0,5,0,0,0,0,5,5,0,0,0
30,4,,5,,,3,2,5,3,4,,4,3,,5,5,,3,4,3,3,3,4,5,,4,5,3,,3,4,,,5,3,3,5,4,,,2,3,4,5,2,3,2,2,5,4,4,,,5,3
36,5,2,3,4,1,4,1,2,3,0,3,2,3,3,3,5,4,2,4,2,1,0,1,2,3,5,4,4,2,3,5,3,,3,5,2,2,2,2,2,4,3,4,4,5,5,4,5,2,1,1,2,2,4,2
37,3,,,5,5,2,0,3,0,5,5,0,0,4,0,0,0,0,0,0,0,5,0,0,0,5,4,0,2,0,3,0,5,0,0,0,3,0,5,0,0,0,5,0,0,4,1,3,2,1,5,4,0,0,0
45,4,4,4,5,4,3,4,5,2,0,2,4,3,1,5,2,4,3,1,5,,,,,,,,,,,5,,,,,5,,,,,5,,,,,,,,,,,,,,
48,,,,5,,,,,,,5,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,5,,,,5,,,,5,,,,
49,4,2,2,5,3,4,4,5,4,4,4,5,3,2,1,5,3,3,4,3,3,3,3,3,3,4,3,3,5,3,4,4,5,4,4,3,4,3,5,3,4,4,5,4,4,2,4,1,5,3,4,5,4,4,4
50,4,,5,,,1,1,1,1,0,4,,5,,,4,5,,,,,3,1,,5,5,3,,4,,5,,,,,,,,,,5,4,3,,,3,4,5,,,5,4,,,
54,5,5,,1,0,0,,4,0,0,3,1,2,0,5,5,5,5,5,4,,,,,,5,5,3,3,5,5,5,3,,,,,,,,5,,,,5,,,,,,,,,,
55,2,2,2,4,2,2,2,5,2,3,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,4,5,2,2,2,2,4,2,2,2,2,3,2,5,5,3,5,2,2,2
70,0,0,0,0,0,,4,5,,0,4,,4,,,4,,,5,,5,,,,,,,,,,,,,,,,,,,,,,5,,,,5,3,4,,,,,,5
75,,,,,,,,,,,4,5,,,,5,4,,3,,,,,,,,,,5,,5,,4,,3,,5,,,,5,,,,,,5,4,,,,,,5,4
77,4,0,2,0,,2,4,3,,5,3,4,3,,,5,4,3,4,,2,1,1,3,5,5,3,1,5,1,5,,,1,,4,2,2,,,3,3,5,4,3,4,4,5,2,3,0,3,,1,4
78,,,,,,,,,,,,,,,,,,,,,3,1,2,5,2,2,4,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
84,5,4,4,5,,3,2,4,3,3,5,3,3,3,4,5,5,4,5,4,3,5,5,4,4,5,3,4,4,5,4,4,4,3,4,4,3,3,4,3,4,3,5,5,5,5,4,3,4,4,5,5,3,4,4
92,,,,,,,,,,,5,,,,,5,5,,5,,,,,,,,,,,,,,5,,,,,,,,5,,,,,,5,4,,,,,,,
105,3,1,4,5,5,2,4,5,2,2,,,,,,3,4,1,5,1,,,,,,,,,,,,,,,,,,,,,5,2,3,2,3,2,3,4,5,2,2,2,5,2,2
106,5,2,2,0,0,3,0,5,4,1,0,2,1,2,5,5,5,4,2,4,0,1,5,5,2,5,5,2,2,2,2,1,0,2,5,0,4,4,0,0,5,0,3,4,0,5,5,4,5,0,2,2,0,3,1
110,3,,4,5,,,,,,3,,,,,,,,,,,,4,,,,5,,,,,,,,5,,3,,,,5,,4,,,,4,,,,,3,4,,,
