Chainsaw Man,Omniscient Reader's Viewpoint,Chained Soldier / Mato Seihei no Slave,Kagurabachi,"I Got a New Skill Every Time I Was Exiled, and After 100 Different Worlds, I Was Unmatched / Tsuihousareru Tabi ni Skill o Te ni Ireta Ore ga, 100 no Isekai de 2-shuume Musou"
0,0,0,0,0
5,0,0,0,0
5,0,0,0,0
0,0,5,0,4
0,0,0,0,0
0,4,3,0,5
3,2,3,3,3
5,0,0,4,0
2,4,3,1,5
5,0,0,0,0
4,5,3,2,1
4,0,5,0,0
3,1,2,0,5
1,2,2,2,2
4,0,4,0,0
4,5,0,0,0
3,4,3,0,0
0,0,0,0,0
5,3,3,3,4
5,0,0,0,0
0,0,0,0,0
0,2,1,2,5
0,0,0,0,0
