"The 100 Girlfriends Who Really, Really, Really, Really, Really Love You","Don't Toy With Me, Miss Nagatoro! / Ijiranaide, Nagatoro-san",The Girl I Like Forgot Her Glasses / Suki na Ko ga Megane wo Wasureta,Journey Home After School / Houkago Kitaku Biyori,The Fragrant Flower Blooms with Dignity / Kaoru Hana wa Rin to Saku
0,0,0,0,0
0,0,0,0,0
0,4,3,5,0
5,0,0,0,0
0,5,1,0,1
3,3,4,5,0
1,0,1,2,3
0,5,0,0,0
0,0,0,0,0
0,5,0,0,0
3,3,3,3,3
0,3,1,0,5
0,0,0,0,0
2,3,2,2,2
5,0,0,0,0
0,0,0,0,0
2,1,1,3,5
3,1,2,5,2
3,5,5,4,4
0,0,0,0,0
0,0,0,0,0
0,1,5,5,2
0,4,0,0,0
